 Variables , 1986 1Q , 1986 2Q , 1986 3Q , 1986 4Q , 1987 1Q , 1987 2Q , 1987 3Q , 1987 4Q , 1988 1Q , 1988 2Q , 1988 3Q , 1988 4Q , 1989 1Q , 1989 2Q , 1989 3Q , 1989 4Q , 1990 1Q , 1990 2Q , 1990 3Q , 1990 4Q , 1991 1Q , 1991 2Q , 1991 3Q , 1991 4Q , 1992 1Q , 1992 2Q , 1992 3Q , 1992 4Q , 1993 1Q , 1993 2Q , 1993 3Q , 1993 4Q , 1994 1Q , 1994 2Q , 1994 3Q , 1994 4Q , 1995 1Q , 1995 2Q , 1995 3Q , 1995 4Q , 1996 1Q , 1996 2Q , 1996 3Q , 1996 4Q , 1997 1Q , 1997 2Q , 1997 3Q , 1997 4Q , 1998 1Q , 1998 2Q , 1998 3Q , 1998 4Q , 1999 1Q , 1999 2Q , 1999 3Q , 1999 4Q , 2000 1Q , 2000 2Q , 2000 3Q , 2000 4Q , 2001 1Q , 2001 2Q , 2001 3Q , 2001 4Q , 2002 1Q , 2002 2Q , 2002 3Q , 2002 4Q , 2003 1Q , 2003 2Q , 2003 3Q , 2003 4Q , 2004 1Q , 2004 2Q , 2004 3Q , 2004 4Q , 2005 1Q , 2005 2Q , 2005 3Q , 2005 4Q , 2006 1Q , 2006 2Q , 2006 3Q , 2006 4Q , 2007 1Q , 2007 2Q , 2007 3Q , 2007 4Q , 2008 1Q , 2008 2Q , 2008 3Q , 2008 4Q , 2009 1Q , 2009 2Q , 2009 3Q , 2009 4Q , 2010 1Q , 2010 2Q , 2010 3Q , 2010 4Q , 2011 1Q , 2011 2Q , 2011 3Q , 2011 4Q , 2012 1Q , 2012 2Q , 2012 3Q , 2012 4Q , 2013 1Q , 2013 2Q , 2013 3Q , 2013 4Q , 2014 1Q , 2014 2Q , 2014 3Q , 2014 4Q , 2015 1Q , 2015 2Q , 2015 3Q , 2015 4Q , 2016 1Q , 2016 2Q , 2016 3Q , 2016 4Q 
         Secondary Income Balance ,-86.1,-89.6,-91,-91.4,-92.5,-92.6,-95.5,-95.9,-102.6,-114.6,-118.3,-126.9,-127.8,-137.1,-149.5,-159.8,-156.8,-167.4,-175.7,-182.2,-178.6,-187.2,-194.1,-205.1,-209.1,-210.8,-223,-181.3,-229.3,-233.1,-249.6,-263.7,-264.1,-275.2,-298.6,-303.6,-290,-289.9,-322,-326.7,-328.3,-353.8,-375.3,-389.3,-370,-398,-439.3,-456,-410.7,-417.6,-444.8,-480.7,-376.4,-388,-346.9,-313,-408.8,-312.9,-360.9,-356.2,-489.2,-529.1,-564.6,-503.8,-617.2,-554.9,-552.6,-517.2,-564.4,-511.9,-495.4,-476.2,-578.6,-517.1,-539.4,-546.5,-637.4,-552.2,-610.3,-610.4,-662.7,-617.6,-657.8,-740.2,-913.2,-969.8,"-1,132.80","-1,238.50","-1,087.40","-1,186.30","-1,361.90","-1,251","-1,377.20","-1,310.50","-1,307.50","-1,381.70","-1,566.10","-1,601.70","-1,668.30","-1,738.70","-1,834.40","-1,759.30","-1,913.50","-1,994.60","-2,139.60","-1,886.90","-2,167.90","-2,328","-1,898.80","-2,025.90","-2,112.40","-2,106.50","-2,092.90","-2,183.80","-2,242.90","-2,305.60","-3,285.30","-3,405.40","-3,473.20","-3,555.20","-3,546.60","-3,857.20","-3,772.50","-3,814.20"
             General Government (Net) ,6,8.1,7.4,8.6,6.6,13.2,10,14.3,11.6,8.7,13.1,10.8,14.1,15.5,14.9,14.5,19.1,17.8,18.4,21,17,18.4,18.9,19.5,14.8,18.9,21,72.9,15.7,23.3,25,25.2,19.8,25.9,26.7,29.2,32.8,39.3,44.6,45.6,42.3,44.6,49.4,49.6,39.2,46.2,49.3,56,58.1,71.2,66.8,64.8,85.6,99.9,105.8,105,82.6,85.9,80.4,79.4,190.1,185.2,165.8,179.9,68.9,95.3,90.3,87.2,110.6,138.9,150.9,157.3,119.7,195.2,186.6,191.5,132.2,175.9,180.6,186.6,176.7,235.7,239.7,242.5,175.4,215.7,233,211.1,224.8,219.8,231.3,209,234.8,277.1,312.2,288.7,179.4,275.4,232.7,238.1,219,269.6,277.3,240.2,327,318.1,239.4,294.9,333.2,217.1,226.4,258,280,233.9,230.3,217.2,287.7,271.4,285.9,309.6,355.1,208,325.9,323.7
             Other Sectors (Net) ,-92.1,-97.7,-98.4,-100,-99.1,-105.8,-105.5,-110.2,-114.2,-123.3,-131.4,-137.7,-141.9,-152.6,-164.4,-174.3,-175.9,-185.2,-194.1,-203.2,-195.6,-205.6,-213,-224.6,-223.9,-229.7,-244,-254.2,-245,-256.4,-274.6,-288.9,-283.9,-301.1,-325.3,-332.8,-322.8,-329.2,-366.6,-372.3,-370.6,-398.4,-424.7,-438.9,-409.2,-444.2,-488.6,-512,-468.8,-488.8,-511.6,-545.5,-462,-487.9,-452.7,-418,-491.4,-398.8,-441.3,-435.6,-679.3,-714.3,-730.4,-683.7,-686.1,-650.2,-642.9,-604.4,-675,-650.8,-646.3,-633.5,-698.3,-712.3,-726,-738,-769.6,-728.1,-790.9,-797,-839.4,-853.3,-897.5,-982.7,"-1,088.60","-1,185.50","-1,365.80","-1,449.60","-1,312.20","-1,406.10","-1,593.20","-1,460","-1,612","-1,587.60","-1,619.70","-1,670.40","-1,745.50","-1,877.10","-1,901","-1,976.80","-2,053.40","-2,028.90","-2,190.80","-2,234.80","-2,466.60","-2,205","-2,407.30","-2,622.90","-2,232","-2,243","-2,338.80","-2,364.50","-2,372.90","-2,417.70","-2,473.20","-2,522.80","-3,573","-3,676.80","-3,759.10","-3,864.80","-3,901.70","-4,065.20","-4,098.40","-4,137.90"
     B Capital & Financial Account Balance ,"-1,638","1,804.90",-562.2,"2,265",479.1,-353.5,833.9,"1,515.60","-1,147.60",872,"1,701.80","1,689.10",-701.8,"-1,493.50",-835.3,-37.5,-510.6,"-3,100.20",-305.2,"-2,093.80","-3,120.80","1,094.50",429.9,-833.5,-144.2,-306.5,"-1,835.90",-651.9,"-2,819.60",864.7,601.1,"1,097",206,"2,123.30","4,100.30","7,726.20","2,771.50","-2,461.80","2,755.50","4,843.20","4,589.70","1,136.40","5,330.30","3,262.60",494,"4,009.80","3,378.20","3,635","6,497.80","7,038.40","6,542.20","5,252.30","7,951","4,016.30","7,072.50","4,019.20","5,720.30",734.8,"3,731.40",-195.2,"1,589.50","12,388.30","8,267.50",944.8,"3,037.80","3,045.20","6,346.90","7,231.70","6,524.10","6,842.10","3,812.70","7,343.10","-5,008.50","8,765.70","8,474","2,232.80","3,947.60","1,636.70","12,568.90","9,869.70","5,226.10","8,794.90","10,404.70","6,114.50","19,443.60","8,953","14,142.20",370.8,-268.1,"6,972.20","13,478.70","2,133.50","17,615.10","12,137.90","4,373.40",-2.5,"-3,793.80","4,963.10","17,188.90","5,646.10","14,153.90","10,301.90","11,976.10","16,881.90","10,063.10","9,798.40","9,761.80","1,079.90","4,351.70","13,325.40","16,412.10","8,334.40","12,802.40","12,559.80","19,295.20","21,819.90","19,255.60","11,364.70","20,431","19,756.70","24,455","16,530.20","18,184.30","22,727"
         Financial Account (Net) ,"-1,638","1,804.90",-562.2,"2,265",479.1,-353.5,833.9,"1,515.60","-1,147.60",872,"1,701.80","1,689.10",-701.8,"-1,493.50",-835.3,-37.5,-510.6,"-3,100.20",-305.2,"-2,093.80","-3,120.80","1,094.50",429.9,-833.5,-144.2,-306.5,"-1,835.90",-651.9,"-2,819.60",864.7,601.1,"1,097",206,"2,123.30","4,100.30","7,726.20","2,771.50","-2,461.80","2,755.50","4,843.20","4,589.70","1,136.40","5,330.30","3,262.60",494,"4,009.80","3,378.20","3,635","6,497.80","7,038.40","6,542.20","5,252.30","7,951","4,016.30","7,072.50","4,019.20","5,720.30",734.8,"3,731.40",-195.2,"1,589.50","12,388.30","8,267.50",944.8,"3,037.80","3,045.20","6,346.90","7,231.70","6,524.10","6,842.10","3,812.70","7,343.10","-5,008.50","8,765.70","8,474","2,232.80","3,947.60","1,636.70","12,568.90","9,869.70","5,226.10","8,794.90","10,404.70","6,114.50","19,443.60","8,953","14,142.20",370.8,-268.1,"6,972.20","13,478.70","2,133.50","17,615.10","12,137.90","4,373.40",-2.5,"-3,793.80","4,963.10","17,188.90","5,646.10","14,153.90","10,301.90","11,976.10","16,881.90","10,063.10","9,798.40","9,761.80","1,079.90","4,351.70","13,325.40","16,412.10","8,334.40","12,802.40","12,559.80","19,295.20","21,819.90","19,255.60","11,364.70","20,431","19,756.70","24,455","16,530.20","18,184.30","22,727"
             Direct Investment ,-608,"-1,036.80",-802.3,"-1,258.90","-1,070.20","-1,388.90","-1,642.60","-1,437.10","-1,029.90","-3,144.20","-1,098.70","-1,845.70",-890.1,"-1,004.90","-1,344.70",-669.4,"-1,225.10","-2,263.20","-1,379.60","-1,550.20","-1,815.10","-1,865.90","-1,818","-2,035.30",-413.9,-428.4,-289.7,-313.5,-755.6,"-1,082.30",-830.1,"-1,427.10",-986.2,"-1,581.80","-1,755.40","-1,745.30",-205.3,"-2,152.30","-1,028.70","-2,940","1,190.60","-2,672.30","-1,237.80",-140.7,-202.5,"2,819.70","-6,437.80","-1,047.80","1,970.20","-4,057.40","-4,267.80","2,443","-12,248.80","-2,177.60",-396.3,"-3,047.20","-4,097","-2,112.50","-4,389.90","-4,342.10","1,868.50","2,024.90","8,167.90","-6,332.20","-7,034.90",588.5,"2,317.70","-1,819.60","-14,721.70","5,450.80","-6,938.70","-7,006.20","-8,197.70","-6,287.60",-440.7,"-4,092","-2,375","-2,909.20","-2,250.80","-1,682.10","-7,026.60","-8,251.60","-2,118.40","-9,394.10","-4,593.80","-2,643.40",-667,"-2,420.90","1,047.20","-5,481.40",-796.9,-762.7,"2,130.90","3,691.20","6,010.10",121.6,"-2,503.10","-6,178.30","-7,293.30","-10,843.70","-1,479.80","-2,925.80","-8,377.70","-9,585.80","-2,686.80","-17,309.10","-11,433.50","-14,551.10","-10,785.30","-2,815.70","-5,285.20","-7,500.90","-13,698.70","-4,083.30","-3,908.20","-5,893.50","-18,368.10","-4,002.70","-15,873.20","-15,614.10","-8,121.60","-12,960.80","-12,158","-18,855.60"
                 Assets , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,"2,246.40","2,543","2,838.90","2,972.90","3,498.20","1,984.70","2,622.50","5,154.50","4,069.30","5,361.30","5,119.20","3,895.90","2,454.50",800.7,655.4,"2,149.80","2,446.60","3,875","3,770.20","3,993.30","2,452.70","2,200.60","2,520.80","4,632.20","7,226.40","8,470.70","15,625.80","4,877.80","2,180.10","1,150",645.1,"1,101.60","1,295.90","1,009.20","1,265.90","2,919.90","4,675.30","6,134.90","5,612.20","5,784.80","4,866.90","4,604.10","5,165.70","6,255.70","6,712.40","6,921.90","8,451","9,793.60","13,483.20","18,216.90","17,989.40","11,924.20","7,076.30",435.4,-89.5,"3,846.30","8,847.80","11,917.20","13,312.60","12,524.50","11,873.40","12,554","12,310.30","11,540.30","10,908.50","10,845.90","9,312.20","8,391.50","9,318.90","3,558.30","4,316.90","7,103","11,822.50","13,518.10","17,501.10","11,711","16,196.60","17,287.50","17,402.10","15,274.90","8,485.30","16,468","9,266.80","8,956.60","8,643.70","9,376.90","8,978","6,004.30"
                 Liabilities , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,"2,451.70","4,695.30","3,867.60","5,912.90","2,307.60","4,657","3,860.30","5,295.20","4,271.80","2,541.60","11,557","4,943.70",484.3,"4,858.10","4,923.20",-293.2,"14,695.40","6,052.60","4,166.50","7,040.50","6,549.70","4,313.10","6,910.70","8,974.30","5,357.90","6,445.80","7,457.90","11,210","9,215",561.5,"-1,672.60","2,921.20","16,017.60","-4,441.60","8,204.60","9,926.10","12,873","12,422.50","6,052.90","9,876.80","7,241.90","7,513.30","7,416.50","7,937.80","13,739","15,173.50","10,569.40","19,187.70","18,077","20,860.30","18,656.40","14,345.10","6,029.10","5,916.80",707.4,"4,609","6,716.90","8,226","7,302.50","12,402.90","14,376.50","18,732.30","19,603.60","22,384","12,388.30","13,771.70","17,689.90","17,977.30","12,005.70","20,867.40","15,750.40","21,654.10","22,607.80","16,333.80","22,786.30","19,211.90","29,895.30","21,370.80","21,310.30","21,168.40","26,853.40","20,470.70","25,140","24,570.70","16,765.30","22,337.70","21,136","24,859.90"
             Portfolio Investment ,370.8,188.7,195.6,440.1,-332.4,-82.7,-21.7,-94,155.9,123.3,160.2,150.2,131.9,66.6,-6.6,-44.5,538.6,346.6,521.9,473.3,386.1,386.2,379.7,414.9,"-1,065.40","-1,090.90",-893.1,"-1,006.40","2,856.50","1,843.70","1,349.20","1,974.50","4,159.70","2,010.40","3,303.60","2,327.60","5,893.90","4,319","6,136","4,883","8,417.80","4,782.60","3,546.80","4,769.70","11,928.30","4,809.10","7,284.80","5,950.60","-4,802.90",499.4,"-1,632.10","3,242","4,673","4,575.80","7,870.80","11,082.20","10,821.90","9,516.90","10,152.50","5,807.90","11,617","12,786.20","7,234.20","9,001.70","2,836.60","5,625.30","11,995.20","4,052.60","14,338.90","10,489.80","3,325.60","6,643","18,521","12,432.20","3,963.10","-4,835.80","6,997.30",105.8,"-2,379.60","-3,181.10","2,866.20","8,168.70","3,851.50","10,830.70","13,875.60","25,034.20","9,110.50","23,490.80","20,585.90",-18.6,"-10,294.60","-26,653.10",510.6,"27,948.30","8,343.90","2,689.60","12,263.60","-1,486.90","19,280.90","10,077.20","9,613.90","-7,985.70","16,395.50","-5,439.30","23,617.40","18,987.20","26,387","29,476","22,563.50",-1.6,"14,681.20","42,330","19,290.90","38,705.80","2,498.10",623.7,"22,345","7,937.80","7,519.40","37,006.20","-16,897.80","12,568.20","18,996.30","13,957.20"
                 Assets , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,"5,176.40","5,263.20","5,668.90","5,631.40","8,610.40","5,262.40","3,742.20","5,117.20","11,697.80","4,860.10","7,158.50","6,058","-4,112.30",-517.2,"-1,771.30","4,818.50","5,773.80","5,887.70","8,352.70","12,111.30","8,650.90","9,114.80","10,572.60","5,232.60","12,125.40","15,082.40","9,022.90","10,746","4,575.80","4,988.10","11,787.30","4,438","14,686.10","11,551.70","5,412.50","8,465.60","20,187.30","12,278.80","5,682.10","-3,070.90","11,418.10",-112.6,"1,737.20",-922.2,"8,848.80","10,837","8,421.10","16,264.80","21,941.70","35,382","16,609.20","25,419.30","17,458.10","-7,128.10","-16,366.60","-31,063.40","-1,207","29,198.20","9,548.90","3,673.10","14,765.90","2,223.10","23,374.40","10,686.20","8,542.10","-8,453.70","12,193.20","-7,044.10","25,302","19,035.50","28,388.60","31,412.40","24,098.70","-2,847.80","16,161.10","40,325.70","18,849.50","40,965.70","3,212.20","5,572.40","20,839.80","5,473.70","6,412.70","34,555.90","-17,969.50","16,556.60","22,356.10","12,871"
"                     Deposit-taking Corporations, Except The Central Bank ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,"3,361.10","2,775.40","3,929.90","1,828.40","3,297.20","1,464.60",-535.4,91.6,"7,324.20",451.9,"1,408.60","-1,295.20","-7,159.80","-3,725.80","-6,524.50","-1,015.50","1,821.50",-120.7,"4,462.70","6,023.40","3,468.20","3,706.70","4,631.50",-13.4,"7,464.80","10,180.20","4,599.90","4,990.90",-380.2,-729,"6,095.90","-1,548.80","8,441.80","3,262.20","-1,655.30","3,169.70","16,815.70","9,858","4,064","-4,738.30","9,614.50","-1,983.30",795.3,"-2,969.90","5,314.80","5,591.40","2,520.30","7,888.20","11,879.10","19,867.70","1,592.20","16,115.20","11,789.90","-9,529.90","-16,447.80","-36,568",-459.6,"32,872.10","13,885.60","3,089.10","7,958.50","-10,081.90","9,921.70","1,474.60","3,996.70","-11,671.70","7,945.70","-14,017.40","8,422.50","2,744.10","8,010.10","18,949","10,413.40","-4,327.40","-2,395.50","17,924","13,839","26,319.60","-10,322.40","-8,608.80","-4,285.50","-9,394.20","4,368.30","11,701","-35,971","9,252.20","10,749.90","1,615.60"
                     Official , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,"1,048.70","2,959.60","2,193","3,151.40","4,369.30","2,824","3,080.70","3,551.80","3,536.90","2,862.10","4,611.90","5,480","2,232.60","2,266.20","3,311.50","4,677.10","2,641.40","4,142.60","2,259.70","4,147.40","2,682.60","2,645.90","2,159.40","2,086.70","2,051.50","2,334.20","1,776.50","1,812.80","1,588.20","2,331","1,849.50","1,692.50","1,610.90","2,189.50","1,728.70","1,637.90","1,545.10","2,212.30","2,080.20","1,918.50","2,203","2,884.20","2,823.80","2,194","2,379.40","3,452.90","3,001.90","2,757.30","3,332.90","4,583.50","4,684.80","3,369.10","4,445.90","5,106.80","3,994.90","6,003.10","4,539.90","4,197.70","2,745.60","2,444.90","3,714.20","3,653.80","3,448.70","3,094.20","2,402.90","3,759.70","3,686.30","2,886.90","2,700.60","4,036.50","3,929.70","3,263.10","2,608","4,469.20","4,601.20","3,735.10","3,784.50","4,937.90","5,675.70","5,710.40","4,180.60","5,592.60","8,910.40","6,340.30","5,146.10","6,816.90","7,342.50","6,931.80"
                     Others , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,766.6,-471.8,-454,651.6,943.9,973.8,"1,196.90","1,473.80",836.7,"1,546.10","1,138","1,873.20",814.9,942.4,"1,441.70","1,156.90","1,310.90","1,865.80","1,630.30","1,940.50","2,500.10","2,762.20","3,781.70","3,159.30","2,609.10","2,568","2,646.50","3,942.30","3,367.80","3,386.10","3,841.90","4,294.30","4,633.40","6,100","5,339.10","3,658","1,826.50",208.5,-462.1,-251.1,-399.4,"-1,013.50","-1,881.90",-146.3,"1,154.60","1,792.70","2,898.90","5,619.30","6,729.70","10,930.80","10,332.20","5,935","1,222.30","-2,705","-3,913.70",-498.5,"-5,287.30","-7,871.60","-7,082.30","-1,860.90","3,093.20","8,651.20","10,004","6,117.40","2,142.50",-541.7,561.2,"4,086.40","14,178.90","12,254.90","16,448.80","9,200.30","11,077.30","-2,989.60","13,955.40","18,666.60","1,226","9,708.20","7,858.90","8,470.80","20,944.70","9,275.30","-6,866","16,514.60","12,855.40",487.5,"4,263.70","4,323.60"
                 Liabilities , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,-717.5,944.2,-467.1,748.4,192.6,479.8,195.4,347.5,-230.5,51,-126.3,107.4,690.6,"-1,016.60",-139.2,"1,576.50","1,100.80","1,311.90",481.9,"1,029.10","-2,171",-402.1,420.1,-575.3,508.4,"2,296.20","1,788.70","1,744.30","1,739.20",-637.2,-207.9,385.4,347.2,"1,061.90","2,086.90","1,822.60","1,666.30",-153.4,"1,719","1,764.90","4,420.80",-218.4,"4,116.80","2,258.90","5,982.60","2,668.30","4,569.60","5,434.10","8,066.10","10,347.80","7,498.70","1,928.50","-3,127.80","-7,109.50","-6,072","-4,410.30","-1,717.60","1,249.90","1,205",983.5,"2,502.30","3,710","4,093.50",609,"-1,071.80",-468,"-4,202.30","-1,604.80","1,684.60",48.3,"2,001.60","1,936.40","1,535.20","-2,846.20","1,479.90","-2,004.30",-441.4,"2,259.90",714.1,"4,948.70","-1,505.20","-2,464.10","-1,106.70","-2,450.30","-1,071.70","3,988.40","3,359.80","-1,086.20"
"                     Deposit-taking Corporations, Except The Central Bank ", na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,-284,602,-4.1,349.8,183.9,437.2,158.1,276.7,-162.5,183.8,154.7,216,384.2,-583.9,-27.2,788.7,258,68.1,7.6,332.1,"-1,283.80",-195.2,216.6,-260,-45,949.5,24.6,-34.7,700.7,-171.2,-11.3,335.8,-288.4,-90,942.1,-179.5,549.3,119.1,"1,086",-100.3,"2,649.90","-1,981",352.7,-253.8,"1,182.20",747,"1,354.30",-16.4,-748.4,577.6,"-1,452.80",-843.9,-757.6,"-1,339.80",-211.3,-629.2,-969.8,-57.6,-145.7,-422,264.1,-549,-250.6,-347.9,-225.5,-855.7,-516,"-1,274.90",518.1,"1,932.20","-7,873.80",608.9,"1,063.40",632.4,"4,696.60",312.2,"7,355","1,819.50",174.3,"2,098.70",-653.7,"-2,033.30",-689.3,"-2,086.30","4,859.30","4,256.20",606.6,"4,329.50"
                     Others , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,-433.5,342.2,-463,398.6,8.7,42.6,37.3,70.8,-68,-132.8,-281,-108.6,306.4,-432.7,-112,787.8,842.8,"1,243.80",474.3,697,-887.2,-206.9,203.5,-315.3,553.4,"1,346.70","1,764.10","1,779","1,038.50",-466,-196.6,49.6,635.6,"1,151.90","1,144.80","2,002.10","1,117",-272.5,633,"1,865.20","1,770.90","1,762.60","3,764.10","2,512.70","4,800.40","1,921.30","3,215.30","5,450.50","8,814.50","9,770.20","8,951.50","2,772.40","-2,370.20","-5,769.70","-5,860.70","-3,781.10",-747.8,"1,307.50","1,350.70","1,405.50","2,238.20","4,259","4,344.10",956.9,-846.3,387.7,"-3,686.30",-329.9,"1,166.50","-1,883.90","9,875.40","1,327.50",471.8,"-3,478.60","-3,216.70","-2,316.50","-7,796.40",440.4,539.8,"2,850",-851.5,-430.8,-417.4,-364,"-5,931",-267.8,"2,753.20","-5,415.70"
             Financial Derivatives , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,"1,639.70","2,918.70","2,780.10","1,865.10","1,290.50",-63.6,-488.1,226.6,"-2,304.10","-2,348.20","-1,701.20",721.6,"3,776.30","6,224.60","6,592","3,927.40",719.2,"-1,924.60","-2,409.50","-1,288.70","4,296.90","6,539.50","6,821.10","3,823.20","-8,594.10","-3,818.90","-6,155.90","-3,184.40","-5,923.70","-3,794","-3,116.70","-3,506.70",30.9,734.2,491.5,"-2,393.10","7,510.60","-9,910.20","-15,397",545,"12,859.70","-8,890.40",-944.5,"3,374.60"
                 Assets , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,"3,269.20","4,622.30","4,320.30","3,295.70","2,328.50",15.9,720.4,"4,354.30","7,223.70","11,900.60","12,263","7,739.30","-3,067.90","-8,578.90","-8,410.80","-7,944.10","1,009.90",450.3,"1,112.20","3,666.10","9,211.70","12,759.30","13,796.70","8,372.90","-11,040.50","-15,305","-12,720.50","-11,265.40","-4,963.30","-3,340.80","-2,168.10","-2,674.60",131.9,"1,503.30",896.2,-823.3,"2,379.90","-9,563.70","-9,898.90",992.8,"7,946.80","-5,149.10","8,352.80","-3,572"
                 Liabilities , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ,"1,629.50","1,703.60","1,540.20","1,430.60","1,038",79.5,"1,208.50","4,127.70","9,527.80","14,248.80","13,964.20","7,017.70","-6,844.20","-14,803.50","-15,002.80","-11,871.50",290.7,"2,374.90","3,521.70","4,954.80","4,914.80","6,219.80","6,975.60","4,549.70","-2,446.40","-11,486.10","-6,564.60","-8,081",960.4,453.2,948.6,832.1,101,769.1,404.7,"1,569.80","-5,130.70",346.5,"5,498.10",447.8,"-4,912.90","3,741.30","9,297.30","-6,946.60"
             Other Investment ,"-1,400.80","2,653",44.5,"3,083.80","1,881.70","1,118.10","2,498.20","3,046.70",-273.6,"3,892.90","2,640.30","3,384.60",56.4,-555.2,516,676.4,175.9,"-1,183.60",552.5,"-1,016.90","-1,691.80","2,574.20","1,868.20",786.9,"1,335.10","1,212.80",-653.1,668,"-4,920.50",103.3,82,549.6,"-2,967.50","1,694.70","2,552.10","7,143.90","-2,917.10","-4,628.50","-2,351.80","2,900.20","-5,018.70",-973.9,"3,021.30","-1,366.40","-11,231.80","-3,619","2,531.20","-1,267.80","9,330.50","10,596.40","12,442.10",-432.7,"15,526.80","1,618.10",-402,"-4,015.80","-1,004.60","-6,669.60","-2,031.20","-1,661","-11,896","-2,422.80","-7,134.60","-1,724.70","7,236.10","-3,168.60","-7,966","4,998.70","6,906.90","-9,098.50","7,425.80","7,706.30","-15,331.80","2,621.10","4,951.60","11,160.60",-674.7,"4,440.10","17,199.30","14,732.90","7,746.80","5,959.10","5,891.50","2,812.80","8,871.30","-13,374.20","6,186.80","-20,925.70","-19,597.10","14,820.40","26,271.40","28,827.70","11,197.30","-25,726.20","-16,572.60","-6,741.10","-14,273.50","14,552.90","7,610.80","7,701.30","1,722.90","14,673.90","-2,862.80","28,083.80","-2,273.40","11,939.20",964.2,"-10,660.60","-1,502.80","19,936.70","10,132.80","-22,988","7,179.30","-22,796.90","20,213.80","29,482.80","7,768.10","17,339.80","44,181.80","-2,180.40","36,614.70","25,813.20","12,290.50","24,250.80"
                 Assets ,"18,160.10","18,813.50","31,418.50","33,168.60","17,466.50","13,038","22,256.40","12,853.60","12,370.80","5,471.50","34,808.30","7,124","15,683.50","-8,412.30","71,867.20","13,147.10","13,671.10","-27,914.60","18,745.70","27,062.90","-16,385.30","-39,416.30","-22,671.70",264,"-12,161.10","-10,652.20","21,086.10","2,476.20","-4,042.70","-7,754.20","16,550","21,413.70","2,421.30","4,727.20","-6,450.10","-8,914.70","12,375.20","37,689.10","-7,650","8,444.70","-9,318.60","11,162.10","18,518.10","11,420.70","23,579.20","31,663.90","45,407.60","58,424.20","-81,871.60","5,320.30","3,108","34,538.90","-3,294.10","-16,758.20","1,167.60","-3,223.80","5,657.10","-3,722.10","6,869.40","39,940.60","6,700.20","-23,973.70","-16,815.90","25,405.80","14,390.70","-45,695.70","7,517.40","23,169.30","6,100.20","5,920.70","-5,892.70","20,317.40","34,970.30","6,540.10","5,903.30","34,055.10","-13,623.70","27,737.50","46,306.40","47,734.80","-19,782.50","49,736.90","10,523.90","11,322.70","52,432.40","47,602.50","69,162.40","62,665.80","52,730","-40,229.10","77,775.90","-44,080.50","-13,850.50","-47,137.40","-35,754.30","-1,746.10","18,670.20","33,480.60","30,668.90","12,478.10","29,600.60","25,629.40","65,494.60","-23,070.90","-20,856.20","33,541","-1,889.60","13,560.30","19,315.30","47,011.90","24,716.40","36,831.40","1,171.60","6,487.40","34,600.80","58,705.60","49,755","-37,378.60","104,845.30","-58,796.50","9,335","36,265.10","14,801.50","56,634"
